,protocol,parties,candidates,voters,time,data sent,rounds,global data sent
0,atlas,3,4,100,8.03649,3.20858,91,6.42139
4,atlas,4,4,100,8.95216,3.9299,92,10.0743
8,atlas,5,4,100,11.7487,5.22566,100,15.9793
12,atlas,6,4,100,13.3549,6.09053,101,20.7503
2,mal-shamir,3,4,100,10.0883,7.06432,64,16.553
6,mal-shamir,4,4,100,11.2437,8.50501,64,24.8997
10,mal-shamir,5,4,100,17.2373,11.569,65,50.8045
14,mal-shamir,6,4,100,19.5044,13.169,65,65.254
1,shamir,3,4,100,6.95576,1.932,41,3.70405
5,shamir,4,4,100,7.67777,2.57813,41,6.12246
9,shamir,5,4,100,9.35828,3.05827,42,11.5925
13,shamir,6,4,100,10.5238,3.86414,42,15.942
3,sy-shamir,3,4,100,12.3416,7.54506,119,15.731
7,sy-shamir,4,4,100,13.3875,8.99792,116,23.7707
11,sy-shamir,5,4,100,18.2958,9.63853,116,39.8358
15,sy-shamir,6,4,100,22.3958,12.0504,119,55.7375
